Span,TotalMin,TotalMax,Escalar,PercentilMin,PercentilMax
1,0,5,2,0,1
2,6,6,3,1,1
,,,4,2,2
,7,7,5,3,5
,,,6,6,10
3,8,8,7,11,18
,9,9,8,19,28
,10,10,9,29,40
4,11,11,10,41,59
,12,12,11,60,71
,13,13,12,72,81
5,,,13,82,89
,14,14,14,90,94
6,15,15,15,95,97
,,,16,98,98
,,,17,99,99
7,16,21,18,99,100
