Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,22,0,20,0,4,,,,
3,1,1,23,23,20,20,5,5,,,,
4,2,2,24,30,21,21,6,8,,,,
5,3,5,31,41,22,27,9,9,,,,
6,6,10,42,54,28,32,10,11,,,,
7,11,18,55,61,33,39,12,15,,,,
8,19,28,62,70,40,45,16,18,,,,
9,29,40,71,77,46,48,19,21,,,,
10,41,59,78,85,49,54,22,26,,,,
11,60,71,86,91,55,57,27,28,,,,
12,72,81,92,96,58,60,29,34,,,,
13,82,89,97,100,61,66,35,38,,,,
14,90,94,101,109,67,69,39,43,,,,
15,95,97,110,114,70,73,44,44,,,,
16,98,98,115,119,74,74,45,45,,,,
17,99,99,120,120,75,77,45,45,,,,
18,99.01,100,121,1000,78,1000,46,1000,,,,
Sample size,0,0,98,98,98,98,98,98,,,,
