Escalar,Percentil Min,Percentil Max,ForwardMin,ForwardMax,BackwardMin,BackwardMax
2,0,0.99,0,3,0,0
3,1,1,3,3,0,0
4,2,2,3,3,0,0
5,3,5,3,3,0,0
6,6,10,3,3,0,0
7,11,18,3,3,2,2
8,19,28,4,4,2,2
9,29,40,4,4,2,2
10,41,59,4,4,3,3
11,60,71,5,5,3,3
12,72,81,5,5,4,4
13,82,89,6,6,4,4
14,90,94,6,6,5,5
15,95,97,6,6,5,5
16,98,98,6,6,5,5
17,99,99,6,6,5,5
18,99.01,100,7,7,6,6
Sample Size,0,0,43,43,0,0
