Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,7
3,1,1,8,8
4,2,2,8,8
5,3,5,9,10
6,6,10,11,11
7,11,18,12,14
8,19,28,15,19
9,29,40,20,21
10,41,59,22,26
11,60,71,27,29
12,72,81,30,33
13,82,89,34,35
14,90,94,36,40
15,95,97,41,42
16,98,98,43,46
17,99,99,46,46
18,99.01,100,47,1000
Sample Size,0,0,68,68
