Escalar,Percentil Min,Percentil Max,Part Amin,Part Amax,Part Bmin,Part Bmax
2,0,0.99,161,1000,461,1000
3,1,1,1000,1000,1000,1000
4,2,2,160,160,429,460
5,3,5,106,159,368,428
6,6,10,92,105,353,367
7,11,18,88,91,299,352
8,19,28,81,87,236,298
9,29,40,75,80,211,235
10,41,59,65,74,164,210
11,60,71,58,64,121,163
12,72,81,43,57,115,120
13,82,89,42,42,99,114
14,90,94,37,41,84,98
15,95,97,25,36,81,83
16,98,98,24,24,80,80
17,99,99,24,24,80,80
18,99.01,100,23,0,79,0
Sample Size,0,0,48,48,37,37
