PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,6,0,3
3,1,1,,,4,4
4,2,2,,,,
5,3,5,7,8,,
6,6,10,9,11,5,6
7,11,18,,,,
8,19,28,12,13,7,7
9,29,40,14,14,8,8
10,41,59,15,17,9,10
11,60,71,18,18,11,13
12,72,81,19,20,14,14
13,82,89,21,21,15,18
14,90,94,22,25,19,19
15,95,97,26,27,20,20
16,98,98,,,,
17,99,99,,,,
18,100,1000,28,1000,21,1000
