Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,104,1000,415,1000,742,1000,838
3,1,1,0,0,103,74,414,270,741,740,837,832
4,2,2,0,0,73,73,269,260,739,671,831,784
5,3,5,0,0,72,63,259,184,670,524,783,630
6,6,10,0,0,62,57,183,115,523,463,629,559
7,11,18,1,1,56,49,114,96,462,396,558,479
8,19,28,2,2,48,42,95,80,395,354,478,434
9,29,40,2,2,41,36,79,66,353,310,433,377
10,41,59,3,4,35,27,65,48,309,243,376,319
11,60,71,4,4,26,21,47,42,242,214,318,267
12,72,81,5,5,20,17,41,32,213,180,266,242
13,82,89,6,6,16,14,31,28,179,169,241,205
14,90,94,6,6,13,10,27,24,168,153,204,191
15,95,97,7,7,9,7,23,18,152,135,190,184
16,98,98,7,7,7,7,18,18,134,130,183,172
17,99,99,7,7,6,6,17,16,129,127,171,154
18,99.01,100,8,10,5,0,15,0,126,0,153,0
Sample size,0,0,120,120,120,120,120,120,120,120,120,120
