Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,42,0,20,0,6,,,,
3,1,1,43,43,21,32,7,7,,,,
4,2,2,44,45,33,36,8,9,,,,
5,3,5,46,53,37,40,10,13,,,,
6,6,10,54,60,41,42,14,15,,,,
7,11,18,61,70,43,47,16,21,,,,
8,19,28,71,76,48,49,22,24,,,,
9,29,40,77,84,50,56,25,28,,,,
10,41,59,85,97,57,62,29,34,,,,
11,60,71,98,99,63,68,35,38,,,,
12,72,81,100,103,69,74,39,41,,,,
13,82,89,104,114,75,78,42,45,,,,
14,90,94,115,120,79,79,46,49,,,,
15,95,97,121,124,80,82,50,53,,,,
16,98,98,125,130,83,84,54,54,,,,
17,99,99,130,130,85,90,55,55,,,,
18,99.01,100,131,1000,91,1000,56,1000,,,,
Sample size,0,0,106,106,106,106,106,106,,,,
