Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,93,1000,308,1000,680,1000,730
3,1,1,0,0,92,83,307,273,679,622,729,710
4,2,2,0,0,82,75,272,174,621,509,709,677
5,3,5,0,0,74,63,173,134,508,452,676,547
6,6,10,0,0,62,54,133,104,451,372,546,481
7,11,18,1,1,53,48,103,83,371,349,480,414
8,19,28,2,2,47,42,82,71,348,317,413,368
9,29,40,2,2,41,34,70,54,316,267,367,334
10,41,59,3,4,33,24,53,42,266,222,333,276
11,60,71,5,5,23,19,41,35,221,176,275,240
12,72,81,5,5,18,14,34,30,175,157,239,206
13,82,89,6,6,13,11,29,21,156,139,205,190
14,90,94,7,7,10,6,20,15,138,125,189,171
15,95,97,7,7,5,4,14,13,124,115,170,147
16,98,98,8,8,4,4,12,11,114,100,146,127
17,99,99,9,9,3,3,10,10,99,93,126,110
18,99.01,100,10,10,2,0,9,0,92,0,109,0
Sample size,0,0,137,137,137,137,137,137,137,137,137,137
