Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,23,0,21,0,5,,,,
3,1,1,24,30,21,21,6,8,,,,
4,2,2,31,32,22,23,8,8,,,,
5,3,5,33,47,24,29,9,10,,,,
6,6,10,48,59,30,36,11,13,,,,
7,11,18,60,67,37,40,14,17,,,,
8,19,28,68,75,41,45,18,20,,,,
9,29,40,76,81,46,49,21,24,,,,
10,41,59,82,89,50,55,25,27,,,,
11,60,71,90,95,56,60,28,30,,,,
12,72,81,96,98,61,62,31,36,,,,
13,82,89,99,104,63,67,37,40,,,,
14,90,94,105,111,68,71,41,44,,,,
15,95,97,112,114,72,76,45,46,,,,
16,98,98,115,120,77,77,46,46,,,,
17,99,99,121,123,78,82,47,50,,,,
18,99.01,100,124,1000,83,1000,51,1000,,,,
Sample size,0,0,124,124,124,124,124,124,,,,
