Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,24,0,21,0,6,,,,
3,1,1,25,43,22,32,7,7,,,,
4,2,2,44,55,33,42,8,11,,,,
5,3,5,56,60,43,46,12,19,,,,
6,6,10,61,71,47,48,20,21,,,,
7,11,18,72,79,49,55,22,25,,,,
8,19,28,80,88,56,58,26,31,,,,
9,29,40,89,96,59,61,32,33,,,,
10,41,59,97,100,62,69,34,39,,,,
11,60,71,101,107,70,74,40,41,,,,
12,72,81,108,112,75,78,42,46,,,,
13,82,89,113,119,79,81,47,50,,,,
14,90,94,120,123,82,86,51,54,,,,
15,95,97,124,126,87,93,55,56,,,,
16,98,98,127,130,94,98,57,66,,,,
17,99,99,130,130,99,100,67,72,,,,
18,99.01,100,131,1000,101,1000,73,1000,,,,
Sample size,0,0,136,136,136,136,136,136,,,,
