Escalar,Percentil Min,Percentil Max,Part Amin,Part Amax,Part Bmin,Part Bmax
2,0,0.99,138,1000,402,1000
3,1,1,132,137,383,401
4,2,2,125,131,318,382
5,3,5,104,124,267,317
6,6,10,87,103,222,266
7,11,18,74,86,193,221
8,19,28,63,73,157,192
9,29,40,58,62,137,158
10,41,59,49,57,106,136
11,60,71,44,48,92,105
12,72,81,37,43,79,91
13,82,89,33,36,72,78
14,90,94,31,32,68,71
15,95,97,25,30,60,67
16,98,98,24,24,48,59
17,99,99,24,24,43,47
18,99.01,100,23,0,42,0
Sample Size,0,0,121,121,116,116
