Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,94,1000,227,1000,794,1000,877
3,1,1,0,0,93,93,226,226,793,793,876,876
4,2,2,0,0,93,93,226,226,793,793,876,876
5,3,5,0,0,92,78,225,166,792,697,875,736
6,6,10,1,1,77,61,165,116,696,595,735,662
7,11,18,1,1,60,50,115,98,594,510,661,601
8,19,28,1,1,49,43,97,83,509,473,600,541
9,29,40,2,2,42,40,80,73,472,407,540,481
10,41,59,3,3,39,32,72,60,406,301,480,392
11,60,71,4,4,31,26,59,51,300,272,391,330
12,72,81,4,4,25,22,50,42,271,251,329,306
13,82,89,5,6,21,16,41,34,250,214,305,256
14,90,94,6,6,15,13,33,30,213,189,255,230
15,95,97,6,6,12,9,29,29,188,172,229,218
16,98,98,7,7,8,7,28,26,171,144,217,186
17,99,99,7,7,7,7,26,26,144,144,186,186
18,99.01,100,8,10,6,0,25,0,143,0,185,0
Sample size,0,0,66,66,66,66,66,66,66,66,66,66
