PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,1,11,1,6
3,1,1,12,13,7,7
4,2,2,14,14,8,8
5,3,5,15,16,9,10
6,6,10,17,17,11,11
7,11,18,18,19,12,12
8,19,28,20,20,13,13
9,29,40,21,22,14,15
10,41,59,23,24,16,18
11,60,71,25,26,19,19
12,72,81,27,28,20,21
13,82,89,29,30,22,22
14,90,94,31,31,23,24
15,95,97,32,33,25,26
16,98,98,34,36,27,27
17,99,99,37,37,28,29
18,100,1000,38,1000,30,1000
,,,,,,
