Escalar,Percentil Min,Percentil Max,Part Amin,Part Amax,Part Bmin,Part Bmax
2,0,0.99,132,1000,481,1000
3,1,1,121,131,449,480
4,2,2,112,120,402,448
5,3,5,104,111,301,401
6,6,10,87,103,222,300
7,11,18,75,86,191,221
8,19,28,64,74,145,190
9,29,40,59,63,131,144
10,41,59,47,58,101,130
11,60,71,38,46,82,100
12,72,81,33,37,70,81
13,82,89,30,32,64,69
14,90,94,27,29,56,63
15,95,97,25,26,48,55
16,98,98,24,24,43,47
17,99,99,24,24,42,42
18,99.01,100,23,0,41,0
Sample Size,0,0,106,106,99,99
