Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,8
3,1,1,8,8
4,2,2,8,8
5,3,5,9,10
6,6,10,11,12
7,11,18,13,15
8,19,28,16,19
9,29,40,20,22
10,41,59,23,28
11,60,71,29,31
12,72,81,32,34
13,82,89,35,41
14,90,94,42,49
15,95,97,50,55
16,98,98,55,55
17,99,99,58,58
18,99.01,100,59,1000
Sample Size,0,0,101,101
