PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,12,0,4
3,1,1,,,5,6
4,2,2,11,12,7,7
5,3,5,13,13,8,8
6,6,10,14,14,,
7,11,18,15,15,9,10
8,19,28,16,17,11,12
9,29,40,18,19,13,13
10,41,59,20,21,14,17
11,60,71,22,23,18,18
12,72,81,24,26,19,20
13,82,89,27,29,21,22
14,90,94,30,31,23,23
15,95,97,32,32,24,27
16,98,98,,,28,29
17,99,99,33,33,30,30
18,100,1000,34,1000,31,1000
