PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,7,0,4
3,1,1,8,10,5,5
4,2,2,,,,
5,3,5,11,11,6,6
6,6,10,12,12,7,7
7,11,18,13,14,8,9
8,19,28,15,16,10,10
9,29,40,17,17,11,12
10,41,59,18,20,13,15
11,60,71,21,22,16,17
12,72,81,23,24,18,19
13,82,89,25,26,20,21
14,90,94,27,30,,
15,95,97,,,22,22
16,98,98,31,33,23,23
17,99,99,34,34,24,24
18,100,1000,35,1000,25,1000
