Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,93,1000,308,1000,680,1000,730
3,1,1,0,0,92,83,307,273,679,622,729,695
4,2,2,0,0,82,80,272,223,621,524,694,677
5,3,5,0,0,79,63,222,127,523,483,676,552
6,6,10,0,0,62,54,126,103,482,416,551,513
7,11,18,1,1,53,48,102,81,415,357,512,419
8,19,28,2,2,47,41,80,66,356,320,418,373
9,29,40,2,2,40,35,65,55,319,267,372,329
10,41,59,3,3,34,27,54,42,266,234,328,283
11,60,71,4,4,26,22,41,35,233,199,282,256
12,72,81,5,5,21,17,34,32,198,173,255,226
13,82,89,6,6,16,14,31,26,172,156,225,202
14,90,94,6,6,13,11,25,17,155,137,201,192
15,95,97,7,7,10,6,16,14,136,128,191,187
16,98,98,7,7,5,5,13,12,127,125,186,182
17,99,99,8,8,4,4,11,9,124,115,181,147
18,99.01,100,9,10,3,0,8,0,114,0,146,0
Sample size,0,0,133,133,133,133,133,133,133,133,133,133
