Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,103,1000,222,1000,874,1000,968
3,1,1,0,0,103,103,222,222,874,874,968,968
4,2,2,0,0,102,102,221,221,873,873,967,967
5,3,5,0,0,101,79,220,140,872,709,966,782
6,6,10,1,1,78,77,139,118,708,600,781,711
7,11,18,1,1,76,57,117,106,599,571,710,634
8,19,28,2,2,56,46,105,89,570,499,633,576
9,29,40,2,2,44,40,88,73,498,407,575,474
10,41,59,3,3,39,29,72,62,406,303,473,395
11,60,71,3,3,28,26,61,49,302,272,394,354
12,72,81,4,5,25,22,48,41,271,251,353,307
13,82,89,5,5,21,18,39,35,250,237,306,298
14,90,94,6,6,17,13,34,31,236,214,297,282
15,95,97,6,6,12,11,31,31,213,203,281,256
16,98,98,7,7,10,9,30,30,202,189,255,252
17,99,99,7,7,9,9,30,30,189,189,252,252
18,99.01,100,8,10,7,0,29,0,188,0,251,0
Sample size,0,0,41,41,41,41,41,41,41,41,41,41
