Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,8
3,1,1,,
4,2,2,,
5,3,5,9,9
6,6,10,10,13
7,11,18,14,17
8,19,28,18,21
9,29,40,22,24
10,41,59,25,30
11,60,71,31,33
12,72,81,34,38
13,82,89,39,42
14,90,94,46,50
15,95,97,51,55
16,98,98,,
17,99,99,56,58
18,99.01,100,59,1000
Sample Size,0,0,117,117
