Escalar,Percentil Min,Percentil Max,Part Amin,Part Amax,Part Bmin,Part Bmax
2,0,0.99,131,1000,406,1000
3,1,1,121,130,383,405
4,2,2,130,130,381,382
5,3,5,103,119,253,380
6,6,10,85,102,206,252
7,11,18,68,84,161,205
8,19,28,60,67,135,160
9,29,40,55,59,119,134
10,41,59,42,54,101,118
11,60,71,36,41,79,100
12,72,81,32,35,71,78
13,82,89,27,31,61,70
14,90,94,26,26,53,61
15,95,97,25,25,49,52
16,98,98,24,24,48,48
17,99,99,24,24,47,47
18,99.01,100,23,0,46,0
Sample Size,0,0,123,123,116,116
