Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,42,0,20,0,6,,,,
3,1,1,43,43,21,32,7,7,,,,
4,2,2,43,43,33,36,8,9,,,,
5,3,5,44,55,37,40,10,18,,,,
6,6,10,56,66,41,46,19,20,,,,
7,11,18,67,73,47,49,21,24,,,,
8,19,28,74,80,50,54,25,26,,,,
9,29,40,81,90,55,58,27,30,,,,
10,41,59,91,99,59,65,31,36,,,,
11,60,71,100,104,66,70,37,41,,,,
12,72,81,105,110,71,76,42,43,,,,
13,82,89,111,119,77,79,44,47,,,,
14,90,94,120,123,80,82,48,50,,,,
15,95,97,124,126,83,86,51,55,,,,
16,98,98,127,130,87,89,55,55,,,,
17,99,99,130,130,90,90,56,56,,,,
18,99.01,100,131,1000,91,1000,57,1000,,,,
Sample size,0,0,123,123,123,123,123,123,,,,
