PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,7,0,3
3,1,1,,,,
4,2,2,8,8,4,4
5,3,5,9,9,5,5
6,6,10,10,11,6,6
7,11,18,,,,
8,19,28,12,13,7,7
9,29,40,14,14,8,8
10,41,59,15,16,9,9
11,60,71,17,18,10,12
12,72,81,,,13,14
13,82,89,19,19,15,16
14,90,94,20,20,17,18
15,95,97,,,,
16,98,98,21,22,,
17,99,99,,,,
18,100,1000,23,1000,19,1000
