Escalar,Percentil Min,Percentil Max,TotalCorrectoMin,TotalCorrectoMax,TotalMovMax,TotalMovMin,TotalInitTimeMax,TotalInitTimeMin,TotalExecMax,TotalExecMin,TotalTimeMax,TotalTimeMin
2,0,0.99,0,0,1000,93,1000,260,1000,793,1000,876
3,1,1,0,0,92,79,259,226,792,725,875,832
4,2,2,0,0,78,78,225,221,724,697,831,767
5,3,5,0,0,77,69,220,166,696,623,766,736
6,6,10,0,0,68,59,165,109,622,571,735,641
7,11,18,1,1,58,50,108,94,570,506,640,579
8,19,28,1,1,49,45,93,80,505,443,578,498
9,29,40,2,2,44,40,79,67,442,354,497,443
10,41,59,3,3,39,31,68,53,353,288,442,354
11,60,71,4,4,30,26,52,43,287,251,353,311
12,72,81,5,5,25,20,42,39,250,214,310,261
13,82,89,6,6,19,14,38,33,213,186,260,239
14,90,94,6,6,13,12,32,29,185,172,238,216
15,95,97,7,7,11,8,28,24,171,166,215,196
16,98,98,7,7,7,7,23,22,165,160,195,186
17,99,99,8,8,7,7,21,18,159,144,185,184
18,99.01,100,9,10,6,0,17,0,183,0,184,0
Sample size,0,0,102,102,102,102,102,102,102,102,102,102
