Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,8
3,1,1,,
4,2,2,,
5,3,5,9,11
6,6,10,12,14
7,11,18,15,19
8,19,28,20,22
9,29,40,23,26
10,41,59,27,31
11,60,71,32,35
12,72,81,36,40
13,82,89,41,47
14,90,94,48,50
15,95,97,51,55
16,98,98,,
17,99,99,56,58
18,99.01,100,59,1000
Sample Size,0,0,126,126
