Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,9
3,1,1,9,9
4,2,2,10,10
5,3,5,11,11
6,6,10,12,12
7,11,18,13,15
8,19,28,16,18
9,29,40,19,20
10,41,59,21,24
11,60,71,25,27
12,72,81,28,30
13,82,89,31,33
14,90,94,34,40
15,95,97,41,42
16,98,98,42,42
17,99,99,42,42
18,99.01,100,43,1000
Sample Size,0,0,40,40
