Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,31,0,20,0,7,,,,
3,1,1,32,32,21,21,8,8,,,,
4,2,2,32,32,21,21,8,8,,,,
5,3,5,33,41,22,27,9,9,,,,
6,6,10,42,50,28,32,10,11,,,,
7,11,18,51,55,33,35,12,14,,,,
8,19,28,56,67,36,40,15,17,,,,
9,29,40,68,75,41,46,18,19,,,,
10,41,59,76,83,47,51,20,23,,,,
11,60,71,84,89,52,54,24,26,,,,
12,72,81,90,97,55,60,27,31,,,,
13,82,89,98,100,61,64,32,36,,,,
14,90,94,101,104,65,68,37,38,,,,
15,95,97,105,114,69,69,39,40,,,,
16,98,98,115,119,70,71,41,42,,,,
17,99,99,119,119,71,71,42,42,,,,
18,99.01,100,120,1000,72,1000,43,1000,,,,
Sample size,0,0,65,65,65,65,65,65,,,,
