Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,6
3,1,1,,
4,2,2,7,11
5,3,5,12,14
6,6,10,15,16
7,11,18,17,20
8,19,28,21,24
9,29,40,25,30
10,41,59,31,36
11,60,71,37,40
12,72,81,41,46
13,82,89,47,50
14,90,94,51,54
15,95,97,55,55
16,98,98,56,56
17,99,99,57,57
18,99.01,100,58,1000
Sample Size,0,0,106,106
