Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,5
3,1,1,6,6
4,2,2,7,11
5,3,5,12,16
6,6,10,17,19
7,11,18,20,24
8,19,28,25,30
9,29,40,31,34
10,41,59,35,44
11,60,71,45,49
12,72,81,50,52
13,82,89,53,55
14,90,94,56,57
15,95,97,58,59
16,98,98,60,63
17,99,99,64,67
18,99.01,100,68,1000
Sample Size,0,0,132,132
