PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,7,0,3
3,1,1,8,8,,
4,2,2,,,4,4
5,3,5,9,11,5,5
6,6,10,12,12,6,6
7,11,18,13,13,7,7
8,19,28,14,15,8,9
9,29,40,16,16,10,11
10,41,59,17,19,12,14
11,60,71,20,21,15,16
12,72,81,22,23,17,17
13,82,89,24,24,18,19
14,90,94,25,27,20,20
15,95,97,28,29,21,22
16,98,98,,,23,23
17,99,99,30,33,24,25
18,100,1000,34,1000,26,1000
