PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,7,0,3
3,1,1,,,4,4
4,2,2,8,10,,
5,3,5,11,12,5,7
6,6,10,13,14,8,8
7,11,18,15,15,9,10
8,19,28,16,17,11,12
9,29,40,18,18,13,13
10,41,59,19,21,14,16
11,60,71,22,23,17,20
12,72,81,24,26,20,19
13,82,89,27,29,21,21
14,90,94,30,32,22,23
15,95,97,,,24,25
16,98,98,33,33,26,26
17,99,99,34,34,27,28
18,100,1000,35,1000,29,1000
