Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,<1,<1,?43,?43,?32,?32,?6,?6,,,,
3,1,1,?43,?43,33,36,7,7,,,,
4,2,2,44,46,33,33,8,11,,,,
5,3,5,47,64,37,45,12,18,,,,
6,6,10,65,68,46,48,19,20,,,,
7,11,18,69,79,49,51,21,25,,,,
8,19,28,80,86,52,57,26,29,,,,
9,29,40,87,93,58,60,30,32,,,,
10,41,59,94,99,61,67,33,38,,,,
11,60,71,100,105,68,74,39,41,,,,
12,72,81,106,110,75,78,42,44,,,,
13,82,89,111,119,79,79,45,49,,,,
14,90,94,120,123,80,85,50,54,,,,
15,95,97,124,126,86,90,55,56,,,,
16,98,98,127,130,91,93,57,66,,,,
17,99,99,127,127,94,98,67,72,,,,
18,>99,>99,?131,?131,?99,?99,?73,?73,,,,
Sample size,0,0,133,133,133,133,133,133,,,,
