Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,8
3,1,1,,
4,2,2,9,9
5,3,5,10,12
6,6,10,13,15
7,11,18,16,19
8,19,28,20,24
9,29,40,25,27
10,41,59,28,34
11,60,71,35,39
12,72,81,40,44
13,82,89,45,48
14,90,94,49,50
15,95,97,51,56
16,98,98,57,57
17,99,99,58,58
18,99.01,100,59,1000
Sample Size,0,0,121,121
