PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,6,0,2
3,1,1,,,3,3
4,2,2,7,7,,
5,3,5,8,9,4,4
6,6,10,10,10,5,6
7,11,18,11,12,7,7
8,19,28,13,13,,
9,29,40,14,15,8,9
10,41,59,16,18,10,12
11,60,71,19,19,13,13
12,72,81,20,21,14,16
13,82,89,22,24,17,18
14,90,94,25,26,19,19
15,95,97,27,27,20,20
16,98,98,28,28,21,21
17,99,99,29,29,22,23
18,100,1000,30,1000,24,1000
