Escalar,Percentil Min,Percentil Max,Pmin,Pmax,Cmin,Cmax,PCmin,PCmax,,,,
2,0,0.99,0,23,0,21,0,5,,,,
3,1,1,24,30,21,21,5,5,,,,
4,2,2,31,32,22,23,6,9,,,,
5,3,5,33,53,24,32,10,11,,,,
6,6,10,54,59,33,38,12,14,,,,
7,11,18,60,70,39,43,15,19,,,,
8,19,28,71,73,44,47,20,23,,,,
9,29,40,74,79,48,50,24,25,,,,
10,41,59,80,90,51,56,26,29,,,,
11,60,71,91,96,57,60,30,33,,,,
12,72,81,97,98,61,63,34,36,,,,
13,82,89,99,106,64,70,37,42,,,,
14,90,94,107,112,71,74,43,44,,,,
15,95,97,113,115,75,76,45,46,,,,
16,98,98,116,120,77,77,47,50,,,,
17,99,99,121,130,78,82,51,51,,,,
18,99.01,100,131,1000,83,1000,52,1000,,,,
Sample size,0,0,124,124,124,124,1240,1240,,,,
