Escalar,Percentil Min,Percentil Max,SDMTMin,SDMTMax
2,0,0.99,0,5
3,1,1,6,6
4,2,2,7,11
5,3,5,12,15
6,6,10,16,18
7,11,18,19,21
8,19,28,22,28
9,29,40,29,33
10,41,59,34,37
11,60,71,38,46
12,72,81,47,49
13,82,89,50,53
14,90,94,54,56
15,95,97,57,58
16,98,98,59,59
17,99,99,60,63
18,99.01,100,64,1000
Sample Size,0,0,123,123
