Escalar,Percentil Min,Percentil Max,Part Amin,Part Amax,Part Bmin,Part Bmax
2,0,0.99,121,1000,406,1000
3,1,1,118,120,383,405
4,2,2,110,117,381,382
5,3,5,87,109,231,380
6,6,10,73,86,197,230
7,11,18,61,72,151,196
8,19,28,56,60,129,150
9,29,40,50,55,114,128
10,41,59,41,49,89,113
11,60,71,35,40,73,88
12,72,81,30,34,66,72
13,82,89,26,29,56,65
14,90,94,25,25,53,55
15,95,97,24,24,45,52
16,98,98,23,23,52,52
17,99,99,18,22,42,44
18,99.01,100,17,0,41,0
Sample Size,0,0,133,133,125,125
