PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,6,0,3
3,1,1,7,7,4,4
4,2,2,8,8,,
5,3,5,9,10,5,5
6,6,10,11,11,6,6
7,11,18,12,13,7,7
8,19,28,14,14,8,9
9,29,40,15,16,10,10
10,41,59,17,18,11,13
11,60,71,19,20,14,16
12,72,81,21,23,17,17
13,82,89,24,24,18,19
14,90,94,25,26,20,21
15,95,97,27,28,22,23
16,98,98,29,29,24,24
17,99,99,30,30,25,25
18,100,1000,31,1000,26,1000
