PuntuacionEscalar,RangoDePercentilMin,RangoDePercentilMax,AnimalesMin,AnimalesMax,PalabrasMin,PalabrasMax
2,0,1,0,7,0,3
3,1,1,,,4,4
4,2,2,8,10,5,5
5,3,5,11,11,6,6
6,6,10,12,13,7,8
7,11,18,14,14,9,9
8,19,28,15,16,10,10
9,29,40,17,18,11,12
10,41,59,19,20,13,14
11,60,71,21,23,15,17
12,72,81,24,26,18,19
13,82,89,27,29,20,21
14,90,94,30,32,22,22
15,95,97,,,23,23
16,98,98,33,33,,
17,99,99,34,34,24,24
18,100,1000,35,1000,25,1000
