Total Correctos,Escalar,PercentilMin,PercentilMax
0,5,3,5
1,6,6,10
2,8,19,28
3,9,29,40
4,10,41,59
5,11,60,71
6,13,82,89
7,13,82,89
8,15,95,97
9,17,99,99
10,18,99,100
