TRmin,TRmax,TAmin,TAmax,Omin,Omax,Cmin,Cmax,TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
605,658,253,299,0,0,,,583,658,253,299,0,5,19,99
583,604,252,252,,,,,580,582,251,252,6,6,16,98
580,582,247,251,1,1,,,574,579,247,250,7,7,16,97
573,579,239,246,,,,,559,573,238,246,,,15,96
535,572,212,238,2,2,,,509,558,210,237,8,9,15,95
499,534,198,211,3,3,,,487,508,197,209,,,14,90
482,498,190,197,4,4,,,467,486,190,196,10,10,13,85
472,481,180,189,5,5,0,0,443,466,177,189,11,11,13,80
463,471,174,179,6,6,,,438,442,173,176,12,12,12,75
453,462,171,173,7,7,,,431,437,168,172,,,12,70
442,452,167,170,8,8,,,422,430,166,167,13,13,11,65
432,441,165,166,9,9,,,413,421,163,165,14,14,11,60
422,431,162,164,10,10,,,403,412,159,162,15,15,10,55
414,421,159,161,11,11,1,1,399,402,157,158,,,10,50
410,413,156,158,12,12,,,391,398,156,156,,,10,45
400,409,152,155,13,13,,,384,390,150,155,16,16,9,40
390,399,149,151,14,15,,,375,383,146,149,17,17,9,35
381,389,145,148,16,18,2,2,371,374,141,145,18,18,8,30
373,380,141,144,19,22,3,3,357,370,138,140,,,8,25
356,372,139,140,23,26,4,4,340,356,134,137,19,20,7,20
344,355,132,138,27,32,5,5,333,339,130,133,21,21,7,15
319,343,126,131,33,40,6,6,318,332,122,129,22,25,6,10
298,318,121,125,41,45,7,7,294,317,109,121,26,30,5,5
290,297,116,120,46,60,,,275,293,107,108,,,5,4
288,289,110,115,61,62,8,12,273,274,103,106,31,31,4,3
281,287,107,109,63,69,13,17,272,272,102,102,31,32,4,2
0,280,0,106,70,100,18,100,0,271,0,101,33,47,3,1
