TRmin,TRmax,TAmin,TAmax,Omin,Omax,Cmin,Cmax,TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
617,658,267,299,0,0,,,601,658,267,299,0,4,19,99
605,616,259,266,,,,,599,600,259,266,5,5,16,98
600,604,253,258,1,1,,,583,590,252,258,6,6,16,97
595,599,251,252,,,,,573,582,250,251,7,7,15,96
569,594,233,250,,,,,554,572,233,249,8,8,15,95
558,568,223,232,2,2,,,529,553,222,232,,,14,90
536,557,218,222,3,3,,,519,528,218,221,9,9,13,85
522,535,211,217,4,4,,,508,527,211,217,,,13,80
516,521,204,210,5,5,,,503,507,204,210,10,10,12,75
507,515,199,203,6,6,0,0,491,502,199,203,,,12,70
494,506,195,198,7,7,,,482,490,194,198,11,11,11,65
481,493,189,194,8,8,,,462,481,188,193,12,12,11,60
465,480,184,188,9,9,,,453,461,184,187,13,13,10,55
458,464,180,183,10,10,,,446,452,180,183,,,10,50
451,457,175,179,11,11,,,438,445,173,179,,,10,45
443,450,168,174,12,13,,,421,437,167,172,14,14,9,40
425,442,164,167,14,15,,,413,420,164,166,,,9,35
417,424,158,163,16,16,,,397,412,157,163,15,15,8,30
403,416,154,157,17,18,1,1,389,396,153,156,16,16,8,25
389,402,150,153,19,20,,,370,388,148,152,17,18,7,20
373,388,144,149,21,24,,,355,369,141,147,19,19,7,15
353,372,135,143,25,37,2,2,332,354,133,140,20,22,6,10
336,352,122,134,38,48,3,4,310,331,119,132,23,27,5,5
324,335,117,121,49,54,5,5,299,309,86,118,28,28,5,4
303,323,95,116,55,63,6,7,283,298,76,85,29,37,4,3
262,302,83,94,64,65,8,13,211,282,72,75,38,38,4,2
0,261,0,82,66,100,14,100,0,210,0,71,39,47,3,1
