percentile,total_recall,delayed_recall
>99,,
>99,,
>99,,
>99,,
>99,,
>99,,
99,,
99,,
99,,
99,,
98,,
98,36,
97,,
96,35,
96,,
95,34,
93,,
92,33,
90,,12
88,32,
86,,
84,31,
82,,
79,30,
76,,11
73,29,
69,,
66,28,
62,,
58,,
54,27,10
50,,
46,26,
42,,
38,25,
34,,
31,24,9
27,,
24,23,
21,,
18,22,
16,,
14,21,8
12,,
10,20,
8,,
7,19,
5,,
4,18,7
4,,
3,,
2,17,
2,,
1,16,
1,,6
1,15,
1,,
<1,14,
<1,,
<1,13,
<1,,5
<1,12,
<1,0-11,0-4
