percentile,total_recall,delayed_recall
>99,,
>99,,
>99,,
>99,,
>99,,
>99,,
99,,
99,,
99,,
99,,
98,,
98,,
97,36,
96,,
96,35,
95,,
93,,
92,34,
90,,
88,33,
86,,12
84,32,
82,,
79,31,
76,,
73,,
69,30,
66.,,11
62,29,
58,,
54,28,
50,,
46,27,
42,,10
38,26,
34,,
31,,
27,25,
24,,
21,24,
18,,9
16,23,
14,,
12,22,
10,,
8,21,
7,,8
5,,7
4,20,
4,,
3,19,
2,,
2,18,
1,,
1,17,7
1,,
1,16,0-5
<1,,
<1,,
<1,15,6
<1,,
<1,14,
<1,0-13,0-5
