TRmin,TRmax,TAmin,TAmax,Omin,Omax,Cmin,Cmax,TOTmin,TOTmax,CONmin,CONmax,VARmin,VARmax,Escalar,Percentil
572,658,220,299,0,0,,,531,658,219,299,0,6,19,99
566,571,216,219,1,1,,,518,530,216,218,,,16,98
547,565,215,215,2,2,,,516,517,215,215,7,7,16,97
536,546,204,214,,,,,506,515,204,214,,,15,96
522,535,200,203,3,3,,,489,505,198,203,8,9,15,95
496,521,188,199,4,4,,,471,488,187,197,10,10,14,90
484,495,181,187,5,5,,,455,470,179,186,11,11,13,85
460,483,174,180,,,0,0,436,454,171,178,12,12,13,80
440,459,168,173,6,6,,,422,435,167,170,13,13,12,75
433,439,165,167,7,7,,,416,421,164,166,,,12,70
423,432,161,164,8,8,,,408,415,160,163,14,14,11,65
415,422,159,160,9,10,,,400,407,158,159,15,15,11,60
411,414,157,158,11,11,1,1,389,399,155,157,16,16,10,55
399,410,153,156,12,12,,,383,388,151,154,17,17,10,50
395,398,151,152,13,14,,,378,382,149,150,18,18,10,45
387,394,147,150,15,15,2,2,372,377,144,148,,,9,40
379,386,143,146,16,18,,,366,371,141,143,19,20,9,35
372,378,138,142,19,23,3,3,354,365,135,140,21,21,8,30
362,371,134,137,24,26,,,341,353,127,134,22,23,8,25
348,361,124,133,27,32,4,4,319,340,118,126,24,25,7,20
337,347,118,123,33,39,5,6,306,318,112,117,26,29,7,15
311,336,111,117,40,54,7,10,291,305,103,111,30,33,6,10
293,310,104,110,55,63,11,20,273,290,87,102,34,34,5,5
277,292,102,103,64,91,21,29,266,272,85,86,35,37,5,4
276,276,93,101,92,94,30,31,242,265,81,84,38,40,4,3
221,275,92,92,95,98,32,40,225,241,51,80,41,43,4,2
0,220,0,91,98,100,40,100,0,224,0,50,44,47,3,1
