percentile,rango18_22,rango23_27,rango28_32,rango33_37,rango38_42
95,,,12,12,12
90,12,12,,,11.2
85,,,11.2,11,
80,11.4,11.1,,10.5,10.2
70,,10.4,10.1,,9.5
60,10.1,,9.5,9.2,
50,,9.2,,,8.4
40,9,,8.4,8.1,
30,8.4,8.1,,7.5,7.2
20,,7.4,7.1,,
15,7.2,,,6.4,6.1
10,6.7,6.4,6.1,,5.6
5,5.9,5.6,5.3,5,4.8
