percentile,total_recall,delayed_recall
>99,,
>99,,
>99,,
>99,,
>99,,
>99,,
99,,
99,,
99,,
99,,
98,,
98,36,
97,,
96,,
96,35,
95,,
93,34,
92,,
90,33,
88,,12
86,32,
84,,
82,31,
79,,
76,30,
73,,11
69,29,
66.,,
62,,
58,28,
54,,
50,27,
46,,10
42,26,
38,,
34,25,
31,,
27,24,
24,,9
21,23,
18,,
16,,
14,22,
12,,
10,21,8
8,,
7,20,
5,,
4,19,
4,,
3,18,7
2,,
2,17,
1,,
1,16,
1,,
1,,
<1,15,6
<1,,
<1,14,
<1,,
<1,13,
<1,0-12,0-5
