SDMTMIN,SDMTMAX,Escalar,PercentilMin,PercentilMax
0,30,2,0,1
31,33,3,1,1
34,34,4,2,2
35,39,5,3,5
40,43,6,6,10
44,48,7,11,18
49,50,8,19,28
51,52,9,29,40
53,58,10,41,59
59,62,11,60,71
63,66,12,72,81
67,69,13,82,89
70,74,14,90,94
75,77,15,95,97
78,78,16,98,98
79,81,17,99,99
82,1000,18,99,100
