percentile,rango18_22,rango23_27,rango28_32,rango33_37,rango38_42
95.00,,,12.00,12.00,12.00
90.00,12.00,12.00,12.00,12.00,11.00
85.00,12.00,12.00,11.00,11.00,11.00
80.00,11.00,11.00,11.00,11.00,10.00
70.00,11.00,10.00,10.00,10.00,10.00
60.00,10.00,10.00,10.00,9.00,9.00
50.00,10.00,9.00,9.00,9.00,8.00
40.00,9.00,9.00,8.00,8.00,8.00
30.00,8.00,8.00,8.00,8.00,7.00
20.00,8.00,7.00,7.00,7.00,7.00
15.00,7.00,7.00,7.00,6.00,6.00
10.00,7.00,6.00,6.00,6.00,6.00
5.00,6.00,6.00,5.00,5.00,5.00
