percentile,total_recall,delayed_recall
>99,,
>99,,
>99,,
>99,,
>99,,
>99,,
99,,
99,,
99,,
99,,
98,,
98,,
97,,
96,36,
96,,
95,35,
93,,
92,,
90,,
88,34,
86,,
84,33,
82,,12
79,32,
76,,
73,,
69,31,
66,,
62,30,
58,,11
54,29,
50,,
46,,
42,28,
38,,
34,27,
31,,
27,26,10
24,,
21,,
18,25,
16,,
14,24,
12,,
10,23,9
8,,
7,,
5,22,
4,,
4,21,
3,,
2,20,8
2,,
1,19,
1,,
1,,
1,18,7
<1,,
<1,17,
<1,,
<1,16,
<1,,
<1,0-15,0-6
