Directos,Inversos,Escalar,Percentil Min,Percentil Max
0,0,2,0,1
1,1,2,0,1
2,1000,2,0,1
3,2,3,1,1
4,1000,4,2,2
1000,3,7,11,18
5,4,8,19,28
6,1000,10,41,59
1000,5,11,60,71
7,6,13,82,89
8,7,15,95,97
9,8,18,99,99
